0,1,0,31
0,4,0,2
0,7,0,16
0,8,0,3
0,12,0,18
0,14,0,11
0,17,0,28
0,19,0,27
0,20,0,10
0,22,0,12
0,26,0,34
0,28,0,11
0,30,0,45
0,31,0,27
0,36,0,18
0,37,0,49
0,38,0,45
0,41,0,33
0,42,0,39
0,43,0,41
0,48,0,27
0,49,0,34
0,50,0,45
1,1,0,41
1,4,0,12
1,7,0,15
1,8,0,3
1,12,0,17
1,14,0,10
1,17,0,29
1,19,0,27
1,20,0,20
1,22,0,2
1,26,0,33
1,28,0,11
1,30,0,45
1,31,0,27
1,36,0,18
1,38,0,45
1,41,0,34
1,42,0,29
1,43,0,31
1,48,0,27
1,49,0,24
1,50,0,44
1,51,0,34
2,4,0,13
2,7,0,14
2,8,0,3
2,12,0,27
2,14,0,20
2,17,0,19
2,19,0,27
2,20,0,30
2,22,0,1
2,26,0,23
2,28,0,11
2,30,0,45
2,31,0,27
2,36,0,18
2,38,0,45
2,41,0,24
2,42,0,28
2,43,0,31
2,48,0,27
2,49,0,24
2,50,0,44
2,51,0,44
2,52,0,11
3,4,0,23
3,7,0,13
3,8,0,3
3,12,0,26
3,14,0,20
3,17,0,19
3,19,0,27
3,20,0,40
3,22,0,0
3,26,0,24
3,28,0,11
3,30,0,45
3,31,0,27
3,36,0,18
3,38,0,45
3,41,0,24
3,42,0,38
3,43,0,31
3,48,0,27
3,49,0,24
3,50,0,44
3,51,0,44
3,52,0,11
3,53,0,24
4,4,0,24
4,7,0,12
4,8,0,3
4,12,0,26
4,14,0,20
4,17,0,19
4,19,0,27
4,20,0,40
4,22,0,10
4,26,0,14
4,28,0,11
4,30,0,45
4,31,0,27
4,36,0,18
4,38,0,45
4,41,0,24
4,42,0,39
4,43,0,31
4,48,0,27
4,49,0,24
4,50,0,44
4,51,0,44
4,52,0,11
4,53,0,25
4,54,0,12
5,4,0,25
5,7,0,22
5,8,0,3
5,12,0,26
5,14,0,20
5,17,0,19
5,19,0,27
5,20,0,40
5,22,0,10
5,26,0,13
5,28,0,11
5,30,0,45
5,31,0,27
5,36,0,18
5,38,0,45
5,41,0,24
5,42,0,39
5,43,0,31
5,48,0,27
5,49,0,24
5,50,0,44
5,51,0,44
5,52,0,11
5,53,0,25
5,54,0,13
5,55,0,47
6,4,0,15
6,7,0,22
6,8,0,3
6,12,0,26
6,14,0,20
6,17,0,19
6,19,0,27
6,20,0,40
6,22,0,10
6,26,0,3
6,28,0,11
6,30,0,45
6,31,0,27
6,36,0,18
6,38,0,45
6,41,0,24
6,42,0,39
6,43,0,31
6,48,0,27
6,49,0,24
6,50,0,44
6,51,0,44
6,52,0,11
6,53,0,25
6,54,0,23
6,55,0,37
6,59,0,47
7,4,0,14
7,7,0,22
7,8,0,3
7,12,0,26
7,14,0,20
7,17,0,19
7,19,0,27
7,20,0,40
7,22,0,10
7,26,0,3
7,28,0,11
7,30,0,45
7,31,0,27
7,36,0,18
7,38,0,45
7,41,0,24
7,42,0,39
7,43,0,31
7,48,0,27
7,49,0,24
7,50,0,44
7,51,0,44
7,52,0,11
7,53,0,25
7,54,0,22
7,55,0,38
7,59,0,47
7,62,0,19
8,4,0,24
8,7,0,22
8,8,0,3
8,12,0,26
8,14,0,20
8,17,0,19
8,19,0,27
8,20,0,40
8,22,0,10
8,26,0,3
8,28,0,11
8,30,0,45
8,31,0,27
8,36,0,18
8,38,0,45
8,41,0,24
8,42,0,39
8,43,0,31
8,48,0,27
8,49,0,24
8,50,0,44
8,51,0,44
8,52,0,11
8,53,0,25
8,54,0,22
8,55,0,28
8,59,0,47
8,62,0,29
8,64,0,15
9,4,0,25
9,7,0,22
9,8,0,3
9,12,0,26
9,14,0,20
9,17,0,19
9,19,0,27
9,20,0,40
